ID,duration,wav,spk_id,wrd
F03-Session3-array-0122,4.05,/scratch/bchristensen/F03/Session3/wav_arrayMic/0122.wav,F03,NOBODY REALLY EXPECTS TO EVACUATE
M01-Session2_3-array-0025,2.1,/scratch/bchristensen/M01/Session2_3/wav_arrayMic/0025.wav,M01,WISH
MC01-Session3-head-0158,2.45,/scratch/bchristensen/MC01/Session3/wav_headMic/0158.wav,MC01,PIT
FC02-Session3-array-0702,2.4,/scratch/bchristensen/FC02/Session3/wav_arrayMic/0702.wav,FC02,HEAT
M02-Session2-array-0171,3.45,/scratch/bchristensen/M02/Session2/wav_arrayMic/0171.wav,M02,CHOP
F03-Session2-head-0133,9.59,/scratch/bchristensen/F03/Session2/wav_headMic/0133.wav,F03,IT EVENTUALLY BECAME A RATHER PROUD CLAIM
MC01-Session2-head-0106,3.6280625,/scratch/bchristensen/MC01/Session2/wav_headMic/0106.wav,MC01,EACH ONE VOLUNTEERED TO JUMP FIRST
FC02-Session3-array-0647,2.4,/scratch/bchristensen/FC02/Session3/wav_arrayMic/0647.wav,FC02,TILE
MC01-Session2-head-0275,3.7000625,/scratch/bchristensen/MC01/Session2/wav_headMic/0275.wav,MC01,BIBLICAL SCHOLARS ARGUE HISTORY
MC03-Session2-head-0008,1.71575,/scratch/bchristensen/MC03/Session2/wav_headMic/0008.wav,MC03,EAT
FC02-Session3-head-0345,1.835,/scratch/bchristensen/FC02/Session3/wav_headMic/0345.wav,FC02,FORK
MC01-Session1-array-0277,3.15,/scratch/bchristensen/MC01/Session1/wav_arrayMic/0277.wav,MC01,OSCAR
M04-Session2-head-0035,2.29,/scratch/bchristensen/M04/Session2/wav_headMic/0035.wav,M04,SIP
M01-Session2_3-head-0153,1.366875,/scratch/bchristensen/M01/Session2_3/wav_headMic/0153.wav,M01,DOT
FC02-Session3-array-0930,2.85,/scratch/bchristensen/FC02/Session3/wav_arrayMic/0930.wav,FC02,CONTRACT
F01-Session1-head-0093,4.150625,/scratch/bchristensen/F01/Session1/wav_headMic/0093.wav,F01,A LONG FLOWING BEARD CLINGS TO HIS CHIN
MC01-Session2-head-0283,1.4109375,/scratch/bchristensen/MC01/Session2/wav_headMic/0283.wav,MC01,SNORT
MC04-Session1-array-0205,1.5,/scratch/bchristensen/MC04/Session1/wav_arrayMic/0205.wav,MC04,BOOT
MC03-Session1-array-0249,1.8,/scratch/bchristensen/MC03/Session1/wav_arrayMic/0249.wav,MC03,SPRINKLE
FC03-Session2-head-0283,1.705,/scratch/bchristensen/FC03/Session2/wav_headMic/0283.wav,FC03,FIT
