Speaker,WER,Num_Tokens,Insertions,Deletions,Substitutions
F01,100.0,83,0,49,34
F03,99.95476470588235,467,0,297,169
F04,99.79670731707317,197,0,115,81
FC01,99.49484848484849,48,0,15,32
FC02,100.0,844,0,515,329
FC03,99.93837288135593,748,0,453,293
M01,99.60776470588235,198,0,113,83
M02,100.0,281,0,173,108
M03,100.0,323,0,211,112
M04,99.86259615384614,304,0,200,103
M05,99.7620253164557,221,0,142,77
MC01,99.95154069767442,947,0,603,343
MC02,99.95346368715083,435,0,256,178
MC03,99.9185283018868,655,0,390,263
MC04,100.0,583,0,344,239
